HSCode,Commodity,value,country,year
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",1.44,U S A,2011
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",15.17,U S A,2011
21,MISCELLANEOUS EDIBLE PREPARATIONS.,31.77,U S A,2011
22,"BEVERAGES, SPIRITS AND VINEGAR.",34.58,U S A,2011
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,16.06,U S A,2011
24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,0.32,U S A,2011
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",67.8,U S A,2011
26,"ORES, SLAG AND ASH.",44.4,U S A,2011
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",1675.58,U S A,2011
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",506.75,U S A,2011
29,ORGANIC CHEMICALS,854.84,U S A,2011
30,PHARMACEUTICAL PRODUCTS,202.59,U S A,2011
31,FERTILISERS.,1401.98,U S A,2011
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",143.89,U S A,2011
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",46.4,U S A,2011
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",87.62,U S A,2011
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,48.41,U S A,2011
36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,4.2,U S A,2011
37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,96.41,U S A,2011
38,MISCELLANEOUS CHEMICAL PRODUCTS.,885.56,U S A,2011
39,PLASTIC AND ARTICLES THEREOF.,1000.9,U S A,2011
40,RUBBER AND ARTICLES THEREOF.,261.95,U S A,2011
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,8.18,U S A,2011
42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",6.64,U S A,2011
43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.05,U S A,2011
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,39.12,U S A,2011
45,CORK AND ARTICLES OF CORK.,0.13,U S A,2011
46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.01,U S A,2011
